TT  PID  AT  CT  IO_D  WT  RT  TRT
29   2    7   22    0   0   0   22
32   8    15   3    0   14   14   17
103   56    89   10    0   4   4   14
152   52    87   49    0   16   16   65
196   74    115   44    0   37   37   81
228   118    188   29    0   11   11   40
228   4    9   215    0   4   4   219
232   92    147   85    0   0   0   85
233   116    185   5    0   43   43   48
239   68    107   43    0   89   89   132
243   104    165   15    0   63   63   78
244   3    7   192    0   45   0   237
256   39    67   19    0   170   24   189
258   5    12   150    0   96   0   246
259   103    164   16    0   79   79   95
276   117    185   20    0   71   71   91
289   28    48   31    0   210   210   241
300   83    129   11    0   160   160   171
319   59    91   80    0   148   148   228
320   163    257   1    0   62   16   63
324   81    125   24    0   175   175   199
325   6    14   44    0   267   0   311
357   22    41   32    0   284   284   316
366   76    119   46    0   201   201   247
388   242    152   203    0   33   -1   236
388   236    378   205    0   -195   -1   10
388   237    380   50    0   -42   -1   8
388   238    380   133    0   -125   -1   8
388   239    11   225    0   152   119   377
393   211    336   52    0   5   5   57
395   212    339   46    0   10   10   56
401   182    288   31    0   82   1   113
421   71    114   55    0   252   252   307
421   115    182   39    0   200   175   239
421   179    283   22    0   116   14   138
441   230    367   46    0   28   28   74
442   162    255   33    0   154   10   187
444   108    174   27    0   243   85   270
454   123    196   33    0   225   225   258
469   167    262   25    0   182   182   207
494   168    265   35    25   194   9   229
521   134    218   64    11   239   29   303
533   10    19   93    0   421   3   514
551   38    65   89    0   397   18   486
574   41    68   112    0   394   38   506
595   88    139   90    0   366   435   456
614   98    156   88    0   370   24   458
635   244    401   201    0   33   -1   234
635   84    130   47    0   458   284   505
635   175    278   43    0   314   192   357
635   180    284   51    0   300   -1   351
635   9    16   103    0   516   16   619
635   165    258   67    0   310   220   377
635   173    273   71    0   291   -1   362
635   45    75   93    0   467   -1   560
635   57    89   152    0   394   -1   546
635   96    154   163    0   318   10   481
635   112    177   183    0   275   -1   458
635   97    154   193    0   288   18   481
635   80    124   186    0   325   -1   511
635   19    34   191    0   410   -1   601
635   133    216   202    0   217   23   419
635   54    87   204    0   344   -1   548
635   7    15   219    0   401   -1   620
635   29    48   212    0   375   -1   587
635   61    95   221    0   319   -1   540
635   150    237   238    0   160   -1   398
635   53    87   239    0   309   -1   548
635   142    227   240    0   168   -1   408
635   120    192   241    0   202   -1   443
635   34    58   290    0   287   316   577
635   87    138   249    0   248   -1   497
635   90    144   259    0   232   -1   491
635   13    22   260    0   353   -1   613
635   36    63   267    27   305   9   572
635   223    356   260    0   19   -1   279
635   24    45   261    0   329   -1   590
635   23    42   263    0   330   -1   593
635   144    227   275    0   133   -1   408
635   35    60   269    0   306   -1   575
635   67    104   275    0   256   -1   531
635   58    89   284    0   262   -1   546
635   240    22   214    0   399   366   613
652   138    221   68    0   363   289   431
652   64    101   38    0   513   513   551
667   50    83   89    0   495   495   584
675   226    360   44    0   271   138   315
696   164    257   56    0   383   16   439
728   214    341   51    35   336   100   387
757   129    208   43    0   506   286   549
789   12    22   121    0   646   16   767
802   228    361   106    0   335   335   441
804   181    285   49    0   470   20   519
815   94    150   40    0   625   336   665
862   246    665   197    0   0   -1   197
862   229    364   58    0   440   81   498
862   44    72   115    0   675   -1   790
862   220    349   141    0   372   -1   513
862   190    299   67    0   496   -1   563
862   219    348   59    0   455   -1   514
862   16    28   70    0   764   -1   834
862   141    225   64    0   573   -1   637
862   177    279   93    0   490   -1   583
862   128    206   89    0   567   160   656
862   95    151   113    0   598   -1   711
862   48    81   95    0   686   -1   781
862   72    114   130    0   618   -1   748
862   186    294   95    0   473   -1   568
862   206    329   141    0   392   -1   533
862   161    253   133    0   476   -1   609
862   15    25   131    0   706   -1   837
862   86    136   100    0   626   -1   726
862   49    81   105    0   676   -1   781
862   225    358   100    0   404   -1   504
862   193    304   110    0   448   -1   558
862   91    147   107    0   608   -1   715
862   66    104   111    0   647   -1   758
862   25    45   106    0   711   -1   817
862   184    291   51    0   520   379   571
862   154    246   179    0   437   -1   616
862   99    157   200    0   505   31   705
862   110    174   288    0   400   208   688
862   105    168   203    0   491   -1   694
862   200    320   221    0   321   14   542
862   102    162   241    0   459   -1   700
862   32    54   261    0   547   -1   808
862   224    357   286    0   219   -1   505
862   111    175   217    0   470   -1   687
862   205    329   218    0   315   -1   533
862   69    110   99    0   653   -1   752
862   20    37   234    0   591   93   825
862   231    367   143    0   352   206   495
862   217    345   184    0   333   260   517
862   210    334   221    0   307   303   528
862   187    295   208    0   359   381   567
862   233    369   277    0   216   331   493
862   241    139   216    0   507   496   723
863   218    347   59    0   457   457   516
870   149    235   62    0   573   481   635
904   55    88   60    0   756   756   816
922   155    246   112    0   564   483   676
928   77    120   65    0   743   743   808
979   126    201   140    0   638   703   778
1016   136    220   118    0   678   613   796
1028   1    4   232    0   792   0   1024
1078   248    873   194    0   11   -1   205
1078   51    84   92    0   902   -1   994
1078   89    142   93    0   843   -1   936
1078   121    193   104    0   781   197   885
1078   172    271   93    0   714   -1   807
1078   43    71   99    0   908   -1   1007
1078   113    177   91    0   810   751   901
1078   147    230   95    0   753   -1   848
1078   204    327   98    0   653   -1   751
1078   78    122   102    0   854   -1   956
1078   101    161   127    0   790   43   917
1078   139    221   124    0   733   -1   857
