TT  PID  AT  CT  IO_D  WT  RT  TRT
69   6    14   44    0   11   11   55
83   22    41   32    0   10   10   42
139   16    28   70    0   41   41   111
149   56    89   10    0   50   50   60
173   5    12   150    0   11   11   161
183   104    165   15    0   3   3   18
186   8    15   3    0   168   2   171
191   116    185   5    0   1   1   6
202   83    129   11    0   62   62   73
209   3    7   192    0   10   10   202
214   2    7   22    0   185   0   207
225   76    119   46    0   60   54   106
241   103    164   16    0   61   61   77
260   39    67   19    0   174   174   193
262   129    208   43    0   11   11   54
266   163    257   1    0   8   8   9
280   117    185   20    0   75   75   95
291   167    262   25    0   4   4   29
299   59    91   80    0   128   118   208
301   240    15   221    0   65   -1   286
301   241    261   218    0   -178   -1   40
301   242    268   211    0   -178   -1   33
301   239    5   231    0   65   232   296
301   1    4   232    0   65   0   297
302   118    188   29    0   85   11   114
396   161    253   133    0   10   10   143
429   204    327   98    0   4   4   102
436   237    380   50    0   6   6   56
458   179    283   22    0   153   40   175
467   64    101   38    0   328   328   366
468   81    125   24    0   319   176   343
480   202    322   127    0   31   4   158
482   175    278   43    0   161   141   204
497   212    339   46    0   112   4   158
504   28    48   31    0   425   226   456
506   4    9   215    0   282   0   497
526   74    115   44    0   367   367   411
536   115    182   39    0   315   315   354
543   168    265   35    25   243   131   278
546   108    174   27    0   345   268   372
563   123    196   33    0   334   118   367
568   55    88   60    0   420   211   480
656   45    75   93    0   488   488   581
657   247    345   279    0   33   -1   312
657   93    147   148    0   362   -1   510
657   46    77   197    0   383   -1   580
657   19    34   191    0   432   10   623
657   183    288   183    0   186   38   369
657   217    345   184    0   128   -1   312
657   99    157   200    0   300   -1   500
657   124    196   205    0   256   -1   461
657   106    171   207    0   279   -1   486
657   232    369   212    0   76   -1   288
657   205    329   218    0   110   -1   328
657   61    95   221    0   341   -1   562
657   197    314   226    0   117   -1   343
657   87    138   249    0   270   -1   519
657   150    237   238    0   182   -1   420
657   120    192   241    0   224   -1   465
657   192    304   247    0   106   31   353
657   114    179   254    0   224   -1   478
657   195    309   264    0   84   -1   348
657   11    19   278    0   360   6   638
657   34    58   290    0   309   26   599
657   58    89   284    0   284   -1   568
657   146    227   279    0   151   -1   430
657   70    111   131    0   415   -1   546
657   207    330   164    0   163   -1   327
657   80    124   186    0   347   -1   533
657   200    320   221    0   116   -1   337
657   26    45   241    0   371   23   612
657   90    144   259    0   254   -1   513
657   160    252   297    0   108   -1   405
657   243    305   287    0   65   32   352
699   162    255   33    0   411   203   444
729   182    288   31    0   410   37   441
750   186    294   95    0   361   35   456
762   94    150   40    0   572   316   612
762   159    251   126    0   385   376   511
772   230    367   46    0   359   359   405
802   126    201   140    0   461   169   601
822   184    291   51    0   480   36   531
846   226    360   44    0   442   442   486
879   164    257   56    0   566   566   622
891   165    258   67    0   566   224   633
939   181    285   49    0   605   39   654
946   52    87   49    0   810   810   859
964   249    665   277    0   22   -1   299
964   177    279   93    0   592   -1   685
964   147    230   95    0   639   -1   734
964   225    358   100    0   506   -1   606
964   157    249   127    0   588   -1   715
964   121    193   104    0   667   -1   771
964   228    361   106    0   497   -1   603
964   193    304   110    0   550   32   660
